indicator,País__ESTANDAR,Años__ESTANDAR,value,unit,notes_ids,source_id
Variación de temperatura media,América Central,1961,-0.136,Grados celsius,,651.0
Variación de temperatura media,América Central,1962,0.08,Grados celsius,,651.0
Variación de temperatura media,América Central,1963,0.141,Grados celsius,,651.0
Variación de temperatura media,América Central,1964,-0.262,Grados celsius,,651.0
Variación de temperatura media,América Central,1965,-0.071,Grados celsius,,651.0
Variación de temperatura media,América Central,1966,-0.192,Grados celsius,,651.0
Variación de temperatura media,América Central,1967,-0.152,Grados celsius,,651.0
Variación de temperatura media,América Central,1968,-0.401,Grados celsius,,651.0
Variación de temperatura media,América Central,1969,0.194,Grados celsius,,651.0
Variación de temperatura media,América Central,1970,-0.262,Grados celsius,,651.0
Variación de temperatura media,América Central,1971,-0.092,Grados celsius,,651.0
Variación de temperatura media,América Central,1972,0.306,Grados celsius,,651.0
Variación de temperatura media,América Central,1973,-0.032,Grados celsius,,651.0
Variación de temperatura media,América Central,1974,-0.11,Grados celsius,,651.0
Variación de temperatura media,América Central,1975,-0.248,Grados celsius,,651.0
Variación de temperatura media,América Central,1976,-0.401,Grados celsius,,651.0
Variación de temperatura media,América Central,1977,0.085,Grados celsius,,651.0
Variación de temperatura media,América Central,1978,0.201,Grados celsius,,651.0
Variación de temperatura media,América Central,1979,0.037,Grados celsius,,651.0
Variación de temperatura media,América Central,1980,0.422,Grados celsius,,651.0
Variación de temperatura media,América Central,1981,0.173,Grados celsius,,651.0
Variación de temperatura media,América Central,1982,0.572,Grados celsius,,651.0
Variación de temperatura media,América Central,1983,0.182,Grados celsius,,651.0
Variación de temperatura media,América Central,1984,-0.063,Grados celsius,,651.0
Variación de temperatura media,América Central,1985,0.094,Grados celsius,,651.0
Variación de temperatura media,América Central,1986,0.246,Grados celsius,,651.0
Variación de temperatura media,América Central,1987,-0.011,Grados celsius,,651.0
Variación de temperatura media,América Central,1988,0.215,Grados celsius,,651.0
Variación de temperatura media,América Central,1989,0.403,Grados celsius,,651.0
Variación de temperatura media,América Central,1990,0.273,Grados celsius,,651.0
Variación de temperatura media,América Central,1991,0.308,Grados celsius,,651.0
Variación de temperatura media,América Central,1992,0.149,Grados celsius,,651.0
Variación de temperatura media,América Central,1993,0.313,Grados celsius,,651.0
Variación de temperatura media,América Central,1994,0.674,Grados celsius,,651.0
Variación de temperatura media,América Central,1995,0.765,Grados celsius,,651.0
Variación de temperatura media,América Central,1996,0.432,Grados celsius,,651.0
Variación de temperatura media,América Central,1997,0.507,Grados celsius,,651.0
Variación de temperatura media,América Central,1998,0.749,Grados celsius,,651.0
Variación de temperatura media,América Central,1999,0.511,Grados celsius,,651.0
Variación de temperatura media,América Central,2000,0.484,Grados celsius,,651.0
Variación de temperatura media,América Central,2001,0.493,Grados celsius,,651.0
Variación de temperatura media,América Central,2002,0.696,Grados celsius,,651.0
Variación de temperatura media,América Central,2003,0.841,Grados celsius,,651.0
Variación de temperatura media,América Central,2004,0.403,Grados celsius,,651.0
Variación de temperatura media,América Central,2005,0.765,Grados celsius,,651.0
Variación de temperatura media,América Central,2006,0.847,Grados celsius,,651.0
Variación de temperatura media,América Central,2007,0.522,Grados celsius,,651.0
Variación de temperatura media,América Central,2008,0.491,Grados celsius,,651.0
Variación de temperatura media,América Central,2009,0.967,Grados celsius,,651.0
Variación de temperatura media,América Central,2010,0.364,Grados celsius,,651.0
Variación de temperatura media,América Central,2011,0.872,Grados celsius,,651.0
Variación de temperatura media,América Central,2012,0.82,Grados celsius,,651.0
Variación de temperatura media,América Central,2013,0.728,Grados celsius,,651.0
Variación de temperatura media,América Central,2014,0.795,Grados celsius,,651.0
Variación de temperatura media,América Central,2015,1.061,Grados celsius,,651.0
Variación de temperatura media,América Central,2016,1.268,Grados celsius,,651.0
Variación de temperatura media,América Central,2017,1.417,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1961,0.118,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1962,-0.14,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1963,0.154,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1964,-0.208,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1965,-0.01,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1966,-0.003,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1967,-0.012,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1968,-0.165,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1969,0.341,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1970,0.172,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1971,-0.278,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1972,0.078,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1973,0.226,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1974,-0.219,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1975,-0.159,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1976,-0.225,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1977,0.294,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1978,0.145,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1979,0.119,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1980,0.33,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1981,0.219,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1982,0.277,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1983,0.463,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1984,0.137,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1985,0.128,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1986,0.273,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1987,0.641,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1988,0.287,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1989,0.178,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1990,0.383,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1991,0.424,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1992,0.293,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1993,0.387,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1994,0.529,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1995,0.632,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1996,0.413,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1997,0.744,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1998,1.002,Grados celsius,,651.0
Variación de temperatura media,América del Sur,1999,0.364,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2000,0.287,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2001,0.615,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2002,0.812,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2003,0.812,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2004,0.703,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2005,0.856,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2006,0.738,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2007,0.612,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2008,0.606,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2009,0.858,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2010,0.846,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2011,0.694,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2012,0.91,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2013,0.774,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2014,1.043,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2015,1.363,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2016,1.204,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2017,1.203,Grados celsius,,651.0
Variación de temperatura media,El Caribe,1961,-0.042,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1962,-0.064,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1963,-0.052,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1964,0.132,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1965,-0.116,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1966,-0.126,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1967,-0.245,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1968,-0.314,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1969,0.12,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1970,-0.204,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1971,-0.073,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1972,0.23,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1973,0.353,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1974,-0.119,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1975,0.286,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1976,-0.272,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1977,0.195,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1978,0.079,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1979,0.304,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1980,0.562,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1981,0.253,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1982,0.503,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1983,0.436,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1984,0.252,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1985,0.154,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1986,0.268,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1987,0.74,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1988,0.621,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1989,0.479,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1990,0.729,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1991,0.76,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1992,0.452,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1993,0.449,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1994,0.818,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1995,0.883,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1996,0.487,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1997,0.883,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1998,1.144,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,1999,0.783,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2000,0.485,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2001,0.511,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2002,0.843,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2003,1.017,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2004,0.71,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2005,0.765,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2006,0.85,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2007,0.922,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2008,0.564,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2009,0.79,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2010,0.898,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2011,0.668,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2012,0.747,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2013,1.01,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2014,1.161,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2015,1.362,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2016,1.331,Grados celsius,8576.0,651.0
Variación de temperatura media,El Caribe,2017,1.3,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2018,1.093,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2018,0.979,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2018,1.163,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2019,1.273,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2019,1.248,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2019,1.535,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2020,1.624,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2020,1.323,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2020,1.668,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2021,1.092,Grados celsius,,651.0
Variación de temperatura media,América del Sur,2021,0.996,Grados celsius,,651.0
Variación de temperatura media,El Caribe,2021,1.078,Grados celsius,8576.0,651.0
Variación de temperatura media,América Central,2022,1.091,Grados celsius,,
Variación de temperatura media,América del Sur,2022,0.797,Grados celsius,,
Variación de temperatura media,El Caribe,2022,1.145,Grados celsius,,
